AVL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
durée;0;2204915282;4044722052;6101051490;8289561973;10606350760;12979774052;15352866876;17804211296;20327972828;22844527723;25445765228;28058293766;30681391337;33270903688;35893471179;38655285236;41420994849;44192879674;46992530375;49864054509;52766353870;55648578404;58580777562;61508498999;64516300118;67466492522;70419661180;73438443902;76577414396;79661792967;82743127293;85804741377;88938313307;92016743733;95161627477;98302646967;1,02E+11;1,05E+11;1,08E+11;1,11E+11;1,15E+11;1,18E+11;1,21E+11;1,24E+11;1,28E+11;1,31E+11;1,34E+11;1,38E+11;1,41E+11;1,45E+11;1,48E+11;1,52E+11;1,55E+11;1,59E+11;1,62E+11;
mémoire;0;16093184;26221392;37231368;46350336;48128096;55574096;62674896;69743160;70631584;76873056;83052312;88853944;89377136;94056704;97867056;103118368;103901184;108047760;112480952;116977448;118886224;123167296;127852080;132454464;133285056;136778616;140836160;144618824;145647168;149378808;153585928;156319832;157114960;160852280;164557992;167440040;167892496;172070128;176386576;179472192;179814896;183040648;188027400;190838552;191748720;194777896;198424416;202845480;204070512;207896232;211443000;214720392;215354064;218172680;221123736;289981200
cpu;0;2121613600;3876624850;5811037250;7846850300;9991864050;12160277950;14320891800;16520505900;18774720350;21028934800;23345549650;25638764350;27931979050;30201793600;32495008300;34874023550;37260838850;39624254000;42034469450;44452484950;46917300750;49374316500;51846932350;54280547950;56792164050;59256979850;61706195550;64178811400;66760627950;69319044350;71877460750;74373476750;76908493000;79404509000;81970725450;84466741450;87064158100;89669374800;92313591750;94965608750;97563025400;1,00E+11;1,03E+11;1,05E+11;1,08E+11;1,11E+11;1,13E+11;1,16E+11;1,18E+11;1,21E+11;1,24E+11;1,26E+11;1,29E+11;1,32E+11;1,34E+11;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STRUCTURE ORIGINALE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
durée;0;1498598853;3052254538;4741263800;6539330672;8488260222;10583225017;12716548327;14882679439;17113281838;19488351049;21980729531;24481510798;27005728005;29622871787;32285587905;34963785671;37666245801;40834753298;43732684494;46586358550;49525635033;52611562795;55788377373;58894936471;62038132474;65371777629;68714939611;72009084500;75401740288;78990747958;82586842191;86007369562;89538743632;93272212983;97035328125;1,01E+11;1,04E+11;1,08E+11;1,12E+11;1,16E+11;1,20E+11;1,24E+11;1,28E+11;1,32E+11;1,36E+11;1,40E+11;1,44E+11;1,48E+11;1,53E+11;1,57E+11;1,62E+11;1,66E+11;1,70E+11;1,75E+11;1,79E+11;
mémoire;0;98391100;120164228;152238900;181922588;215710532;262348320;296014944;328308896;360877912;388903872;418721368;446397720;470993128;493808680;512302840;535125120;555827808;576553604;595572700;617361852;639621028;663590300;683614164;706245260;726609500;744971620;761907764;781661828;799581988;818488940;836951980;843286580;867848708;886255396;903181084;918591772;931681756;949140220;968079612;985516996;999752948;1014907356;1027950604;1047815444;1063455660;1079857652;1095704276;1113577652;1132001916;1150465948;1167807636;1183991220;1199829964;1209210948;1227426684;
cpu;0;1240207950;2425815550;3611423150;4820430900;6115239200;7441247700;8743856050;10062064500;11380272950;12729681600;14079090250;15436298950;16816907800;18142916300;19484524900;20865133750;22230142500;23595151250;24952359950;26332968800;27721377700;29094186500;30498195500;31902204500;33306213500;34725822600;36090831350;37510440450;38976849850;40482259500;41933068800;43360477950;44787887100;46223096300;47666105550;49109114800;50520923850;51971733150;53430342500;54888951850;56339761150;57806170550;59217979600;60653188800;62119598200;63632807900;65153817650;66550026600;68016436000;69506245550;71003855150;72431264300;73928873900;75434283550;76877292800;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TABLE DE HACHAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
durée;0;9161690081;17031917492;27103641856;38437731654;50860780887;63911622987;77819588774;92279063240;1,08E+11;1,23E+11;1,40E+11;1,56E+11;1,74E+11;1,92E+11;2,10E+11;2,28E+11;2,47E+11;2,67E+11;2,87E+11;3,07E+11;3,27E+11;3,47E+11;3,68E+11;3,89E+11;4,11E+11;4,34E+11;4,55E+11;4,78E+11;5,01E+11;5,24E+11;5,48E+11;5,71E+11;5,95E+11;6,19E+11;6,43E+11;6,68E+11;6,92E+11;7,16E+11;7,39E+11;7,62E+11;7,86E+11;8,09E+11;8,32E+11;8,56E+11;8,80E+11;9,04E+11;9,29E+11;9,52E+11;9,77E+11;1,00E+12;1,03E+12;1,05E+12;1,08E+12;1,11E+12;1,13E+12;
mémoire;0;1037056;14150400;10523620;23286372;18933668;30934116;26304676;37652836;32991780;43612388;39441380;48987172;44999972;53202852;49822820;57745380;54731492;61744612;59488228;66439332;64862052;70806628;69704292;75158756;72725412;78744036;78087460;82484964;82162148;86219748;84685156;89332900;89435108;92803620;91960228;95688100;96392868;99488676;99392100;102631972;103351652;106056932;106360676;109418532;110409188;112574628;113644068;116459556;117953892;120035620;120748772;123136676;123667684;125936740;58547260;
cpu;0;9094858300;16871508150;26816571900;38025243750;50349322750;63250605450;77002093600;91315185350;1,07E+11;1,22E+11;1,38E+11;1,55E+11;1,72E+11;1,89E+11;2,08E+11;2,26E+11;2,44E+11;2,64E+11;2,83E+11;3,03E+11;3,23E+11;3,43E+11;3,64E+11;3,84E+11;4,06E+11;4,28E+11;4,50E+11;4,72E+11;4,95E+11;5,17E+11;5,41E+11;5,64E+11;5,87E+11;6,10E+11;6,34E+11;6,59E+11;6,83E+11;7,06E+11;7,29E+11;7,52E+11;7,75E+11;7,98E+11;8,20E+11;8,44E+11;8,68E+11;8,92E+11;9,16E+11;9,38E+11;9,63E+11;9,88E+11;1,01E+12;1,04E+12;1,07E+12;1,09E+12;1,12E+12;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARBRE BINAIRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
durée;0;1525638881;3105808876;4791586851;6478907089;8186190289;9929075632;11675613814;13414727014;15185146547;17019888555;18863362017;20693538298;22477665530;24232535937;25974857076;27801380263;29605492521;31407095490;33252654125;35109408603;37009436775;38882938065;40799135758;42777004237;44780037193;46679559658;48614171891;50534400098;52491595421;54417549323;56383173086;58255101324;60176168269;62086489658;64038821630;65941278783;67924573536;69937188488;71973323023;73963080350;75971331755;77986841369;80016818139;82031487988;84136664924;86248524574;88344927977;90390183958;92484322330;94605763206;96695813079;98756903496;1,01E+11;1,03E+11;1,05E+11;
mémoire;0;10454240;12742928;16134688;19487520;22976928;28389088;31902624;35235808;38555808;41562464;44548128;47356704;49890144;52161632;54105824;56394656;58615584;60516896;62614816;64749344;67145696;69402272;71578528;73654688;75799584;76479200;79450400;81251424;83060256;84932896;86827808;87292064;89875424;91583264;93378912;93944544;96296160;97983968;99965664;100884896;103141728;104680608;106370080;107591328;109895520;111476000;113018848;114645344;116510560;118758560;120479840;121520672;123613664;124439584;125856672;
cpu;0;1489809550;3003019250;4625429650;6224439900;7854650350;9500460900;11138471400;12753081750;14383292200;16075903050;17768513900;19422124500;21052334950;22643545150;24211355200;25857165750;27471776100;29070786350;30693196750;32323407200;33992617900;35638428450;37299839100;39023650150;40755261250;42393271750;44039082300;45692692900;47346303500;48984314000;50661324750;52229134800;53843745150;55442755400;57088565950;58664176050;60325586700;62002597450;63695208300;65333218800;66979029350;68632639950;70286250550;71908660950;73609071850;75325082850;77017693700;78647904150;80324914900;82017525750;83678936400;85309146850;86962757450;88585167850;90230978400;
